"","numer_sta","date","pmer","tend","cod_tend","dd","ff","t","td","u","vv","ww","w1","w2","n","nbas","hbas","cl","cm","ch","pres","niv_bar","geop","tend24","tn12","tn24","tx12","tx24","tminsol","sw","tw","raf10","rafper","per","etat_sol","ht_neige","ssfrai","perssfrai","rr1","rr3","rr6","rr12","rr24","phenspe1","phenspe2","phenspe3","phenspe4","nnuage1","ctype1","hnuage1","nnuage2","ctype2","hnuage2","nnuage3","ctype3","hnuage3","nnuage4","ctype4","hnuage4","X"
"19882",7149,20160813180000,"102210","-20","7","340","3.100000","300.650000","283.850000","35","30000","2","2","2","60","0","8000","30","20","11","101180","mq","mq","-190","290.050000","mq","302.850000","mq","mq","mq","mq","4.100000","5.700000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","5","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"19939",7149,20160813210000,"102310","80","2","350","2.500000","294.750000","284.750000","53","25000","1","0","0","25","0","8000","30","20","11","101260","mq","mq","-140","mq","mq","mq","mq","mq","mq","mq","3.800000","3.800000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"19995",7149,2.0160814e+13,"102350","20","0","360","1.400000","291.150000","286.250000","73","25000","1","0","0","0","0","mq","30","20","10","101280","mq","mq","-110","mq","mq","mq","mq","mq","mq","mq","2.000000","4.200000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20052",7149,20160814030000,"102340","-20","6","320","2.000000","288.850000","285.450000","80","25000","1","0","0","0","0","mq","30","20","10","101260","mq","mq","-110","mq","mq","mq","mq","mq","mq","mq","2.300000","2.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20109",7149,20160814060000,"102360","30","2","350","0.800000","289.950000","286.650000","81","25000","2","0","0","25","0","8000","30","20","11","101290","mq","mq","-130","287.550000","mq","300.550000","mq","mq","mq","mq","1.200000","2.000000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20166",7149,20160814090000,"102370","30","1","350","3.300000","295.550000","287.450000","60","55880","3","0","0","50","0","8000","30","20","14","101320","mq","mq","-110","mq","mq","mq","mq","mq","mq","mq","5.900000","5.900000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","4","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20221",7149,20160814120000,"102270","-90","8","30","2.800000","299.150000","287.250000","48","43160","2","0","0","25","0","8000","30","20","11","101230","mq","mq","-100","mq","mq","mq","mq","mq","mq","mq","4.700000","5.800000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20280",7149,20160814150000,"102160","-100","7","10","3.600000","301.150000","286.250000","40","35000","3","0","0","50","0","8000","30","20","11","101130","mq","mq","-70","mq","mq","mq","mq","mq","mq","mq","5.900000","7.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","4","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20332",7149,20160814180000,"102170","0","0","30","4.100000","297.850000","285.450000","46","35000","3","2","2","75","0","8000","30","20","11","101130","mq","mq","-50","289.950000","mq","301.350000","mq","mq","mq","mq","6.000000","6.600000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","6","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20388",7149,20160814210000,"102280","90","1","40","3.400000","293.550000","286.750000","65","35000","2","2","2","90","0","8000","30","20","11","101220","mq","mq","-40","mq","mq","mq","mq","mq","mq","mq","5.100000","6.200000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","7","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20443",7149,2.0160815e+13,"102300","10","0","40","5.800000","291.150000","287.050000","77","35000","1","0","0","25","0","8000","30","20","11","101230","mq","mq","-50","mq","mq","mq","mq","mq","mq","mq","8.200000","9.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20496",7149,20160815030000,"102240","-60","7","30","3.700000","288.850000","285.950000","83","30000","2","0","0","10","0","8000","30","20","11","101170","mq","mq","-90","mq","mq","mq","mq","mq","mq","mq","6.100000","6.100000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20549",7149,20160815060000,"102210","-30","6","40","3.100000","288.850000","285.950000","83","20000","2","0","0","0","0","mq","30","20","10","101140","mq","mq","-150","287.950000","mq","297.850000","mq","mq","mq","mq","5.300000","5.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20605",7149,20160815090000,"102150","-40","8","10","3.000000","294.450000","287.350000","64","20000","2","0","0","0","0","mq","30","20","10","101100","mq","mq","-220","mq","mq","mq","mq","mq","mq","mq","5.100000","5.100000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20661",7149,20160815120000,"102000","-130","7","40","4.200000","299.350000","287.150000","47","25000","2","0","0","10","0","8000","30","20","11","100970","mq","mq","-260","mq","mq","mq","mq","mq","mq","mq","6.700000","8.400000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20716",7149,20160815150000,"101880","-120","7","40","4.400000","300.950000","285.750000","39","25000","3","0","0","25","1","1750","32","20","11","100850","mq","mq","-280","mq","mq","mq","mq","mq","mq","mq","9.000000","9.000000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","1700","2","0","8000","mq","mq","mq","mq","mq","mq",NA
"20772",7149,20160815180000,"101770","-110","6","40","5.100000","298.750000","287.550000","50","25000","1","0","0","10","0","mq","30","20","11","100740","mq","mq","-390","288.950000","mq","301.550000","mq","mq","mq","mq","7.000000","9.000000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20827",7149,20160815210000,"101860","70","2","40","4.600000","294.950000","287.550000","63","30000","2","0","0","10","0","mq","30","20","11","100810","mq","mq","-410","mq","mq","mq","mq","mq","mq","mq","8.100000","8.200000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20882",7149,2.0160816e+13,"101840","-30","8","20","3.700000","291.750000","286.850000","73","30000","1","0","0","0","0","mq","30","20","10","100780","mq","mq","-450","mq","mq","mq","mq","mq","mq","mq","6.300000","7.400000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20937",7149,20160816030000,"101730","-120","6","10","2.800000","289.350000","285.750000","79","28620","1","0","0","0","0","mq","30","20","10","100660","mq","mq","-510","mq","mq","mq","mq","mq","mq","mq","4.200000","4.700000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"20994",7149,20160816060000,"101680","-40","6","10","3.300000","289.950000","285.850000","77","25000","2","0","0","10","0","8000","30","20","11","100620","mq","mq","-520","288.250000","mq","298.750000","mq","mq","mq","mq","5.100000","5.700000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21052",7149,20160816090000,"101610","-50","7","360","1.800000","295.350000","287.450000","61","25000","2","0","0","10","0","8000","30","20","11","100570","mq","mq","-530","mq","mq","mq","mq","mq","mq","mq","3.200000","5.000000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21109",7149,20160816120000,"101480","-110","8","50","3.200000","300.750000","288.450000","47","19990","1","0","0","10","1","2250","31","20","11","100460","mq","mq","-510","mq","mq","mq","mq","mq","mq","mq","5.700000","7.000000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","2000","1","0","8000","mq","mq","mq","mq","mq","mq",NA
"21159",7149,20160816150000,"101320","-150","8","340","1.800000","303.350000","286.650000","36","44660","0","0","0","mq","0","mq","mq","mq","mq","100310","mq","mq","-540","mq","mq","mq","mq","mq","mq","mq","3.500000","5.200000","-10","0","0.000000","mq","mq","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21215",7149,20160816180000,"101210","-120","6","310","2.900000","301.850000","285.750000","37","30000","3","0","0","25","1","2250","31","20","11","100190","mq","mq","-550","290.050000","mq","303.350000","mq","mq","mq","mq","3.700000","5.100000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","2000","2","0","7500","mq","mq","mq","mq","mq","mq",NA
"21266",7149,20160816210000,"101300","80","3","20","4.100000","296.850000","289.350000","63","38720","2","0","0","10","0","6500","30","20","11","100270","mq","mq","-540","mq","mq","mq","mq","mq","mq","mq","6.300000","6.300000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","6500","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21324",7149,2.0160817e+13,"101300","-20","7","10","2.500000","293.150000","288.350000","74","25000","2","0","0","0","0","mq","30","20","10","100250","mq","mq","-530","mq","mq","mq","mq","mq","mq","mq","3.800000","4.900000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21379",7149,20160817030000,"101200","-110","6","360","1.800000","290.950000","287.650000","81","19120","2","0","0","0","0","mq","30","20","10","100140","mq","mq","-520","mq","mq","mq","mq","mq","mq","mq","2.800000","3.700000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21435",7149,20160817060000,"101160","-30","7","340","1.800000","291.350000","287.450000","78","14400","2","0","0","10","0","8000","30","20","11","100110","mq","mq","-510","289.350000","mq","301.750000","mq","mq","mq","mq","2.700000","2.700000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","0","8000","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21491",7149,20160817090000,"101160","20","3","340","2.300000","297.450000","288.350000","57","17290","3","0","0","10","1","4500","30","21","10","100130","mq","mq","-440","mq","mq","mq","mq","mq","mq","mq","4.300000","4.300000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","3","4500","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21547",7149,20160817120000,"101080","-70","8","360","3.900000","301.950000","282.650000","30","22190","2","0","0","0","0","mq","30","20","10","100060","mq","mq","-400","mq","mq","mq","mq","mq","mq","mq","6.200000","8.600000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21606",7149,20160817150000,"100960","-110","7","320","3.900000","303.050000","283.050000","29","25000","2","0","0","10","1","1750","31","20","10","99950","mq","mq","-360","mq","mq","mq","mq","mq","mq","mq","7.200000","7.200000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","8","1800","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21662",7149,20160817180000,"100910","-60","6","350","2.100000","301.150000","282.950000","32","25000","1","0","0","25","2","4500","30","23","10","99890","mq","mq","-300","291.350000","mq","303.650000","mq","mq","mq","mq","3.300000","4.900000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","2","3","4500","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"21719",7149,20160817210000,"101020","90","2","210","0.700000","294.350000","282.850000","48","30000","3","2","2","90","1","4500","30","23","11","99980","mq","mq","-290","mq","mq","mq","mq","mq","mq","mq","1.100000","1.100000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","1","3","4500","7","0","8000","mq","mq","mq","mq","mq","mq",NA
"21777",7149,2.0160818e+13,"100960","-60","7","230","0.900000","293.650000","286.650000","64","30000","3","2","2","90","5","3300","30","23","12","99920","mq","mq","-330","mq","mq","mq","mq","mq","mq","mq","1.200000","1.500000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.000000","mq","mq","mq","mq","5","3","3300","7","0","6000","mq","mq","mq","mq","mq","mq",NA
"21835",7149,20160818030000,"101020","50","3","260","3.700000","291.550000","289.350000","87","12000","61","6","6","90","2","1750","39","28","mq","99970","mq","mq","-170","mq","mq","mq","mq","mq","mq","mq","6.000000","13.000000","-10","2","0.000000","0.000000","-30","0.600000","0.600000","0.600000","0.600000","0.600000","mq","mq","mq","mq","7","3","2400","2","9","1800","mq","mq","mq","mq","mq","mq",NA
"21890",7149,20160818060000,"100980","-40","5","220","1.600000","291.050000","290.450000","96","7930","0","6","2","100","1","250","mq","mq","mq","99930","mq","mq","-180","290.750000","mq","301.150000","mq","mq","mq","mq","2.300000","2.300000","-10","2","0.000000","mq","mq","-0.100000","6.500000","7.100000","7.100000","7.100000","mq","mq","mq","mq","1","mq","210","5","mq","2160","5","mq","2940","mq","mq","mq",NA
"21947",7149,20160818090000,"101050","80","1","170","2.100000","293.250000","291.150000","88","12650","3","2","2","100","7","450","38","mq","mq","100010","mq","mq","-120","mq","mq","mq","mq","mq","mq","mq","3.000000","3.500000","-10","1","0.000000","0.000000","-30","0.000000","0.000000","6.500000","7.100000","7.100000","mq","mq","mq","mq","5","8","360","7","6","650","mq","mq","mq","mq","mq","mq",NA
"22004",7149,20160818120000,"100980","-70","8","130","2.500000","294.150000","292.450000","90","12210","25","8","6","90","7","450","39","mq","mq","99940","mq","mq","-120","mq","mq","mq","mq","mq","mq","mq","3.800000","4.300000","-10","2","0.000000","0.000000","-60","-0.100000","13.800000","13.800000","20.900000","20.900000","mq","mq","mq","mq","5","8","800","6","6","1100","1","9","360","mq","mq","mq",NA
"22061",7149,20160818150000,"100970","-10","8","230","4.000000","294.950000","291.950000","83","50310","1","2","2","90","7","450","38","mq","mq","99930","mq","mq","-20","mq","mq","mq","mq","mq","mq","mq","7.000000","7.000000","-10","2","0.000000","0.000000","-30","0.000000","3.600000","17.400000","23.900000","24.500000","mq","mq","mq","mq","3","8","480","5","8","800","5","6","1150","mq","mq","mq",NA
"22117",7149,20160818180000,"100970","0","0","230","3.300000","295.050000","290.450000","75","25000","1","2","2","90","6","800","38","20","11","99930","mq","mq","40","291.050000","mq","296.350000","mq","mq","mq","mq","4.300000","7.400000","-10","1","0.000000","0.000000","-60","0.000000","-0.100000","3.600000","17.400000","24.500000","mq","mq","mq","mq","2","8","800","3","6","860","4","6","1150","5","0","8000",NA
"22173",7149,20160818210000,"101020","40","0","260","3.800000","292.450000","289.250000","82","25000","1","1","1","50","2","1750","35","20","11","99970","mq","mq","-10","mq","mq","mq","mq","mq","mq","mq","5.600000","5.600000","-10","1","0.000000","0.000000","-30","0.000000","0.000000","-0.100000","17.400000","24.500000","mq","mq","mq","mq","2","6","1550","3","0","8000","mq","mq","mq","mq","mq","mq",NA
"22227",7149,2.0160819e+13,"101030","10","0","280","2.200000","290.450000","289.350000","93","11000","2","0","0","40","1","1750","35","20","11","99980","mq","mq","60","mq","mq","mq","mq","mq","mq","mq","3.100000","4.400000","-10","1","0.000000","0.000000","-60","0.000000","0.000000","0.000000","3.600000","24.500000","mq","mq","mq","mq","1","6","1600","3","0","6200","mq","mq","mq","mq","mq","mq",NA
"22282",7149,20160819030000,"100980","-50","6","250","1.700000","290.550000","289.050000","91","6880","0","2","2","100","8","1750","mq","mq","mq","99930","mq","mq","-40","mq","mq","mq","mq","mq","mq","mq","2.300000","3.400000","-10","mq","0.000000","mq","mq","0.000000","0.000000","0.000000","-0.100000","23.900000","mq","mq","mq","mq","2","mq","1680","5","mq","2040","8","mq","5340","mq","mq","mq",NA
"22337",7149,20160819060000,"101000","20","3","190","1.700000","290.450000","289.650000","95","6000","1","2","2","90","3","1250","35","20","11","99950","mq","mq","20","289.450000","mq","295.050000","mq","mq","mq","mq","3.300000","3.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","17.400000","mq","mq","mq","mq","3","6","1000","7","0","7000","mq","mq","mq","mq","mq","mq",NA
"22392",7149,20160819090000,"101000","10","2","190","2.300000","293.650000","289.650000","78","39910","1","2","2","90","7","1250","35","23","mq","99960","mq","mq","-50","mq","mq","mq","mq","mq","mq","mq","3.800000","4.300000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","17.400000","mq","mq","mq","mq","1","6","1300","7","3","3800","mq","mq","mq","mq","mq","mq",NA
"22446",7149,20160819120000,"100980","-10","8","200","5.500000","296.250000","286.750000","55","41980","0","2","2","75","1","250","mq","mq","mq","99950","mq","mq","10","mq","mq","mq","mq","mq","mq","mq","8.500000","8.500000","-10","0","0.000000","mq","mq","0.000000","0.000000","0.000000","0.000000","3.600000","mq","mq","mq","mq","1","mq","270","5","mq","3480","6","mq","5400","mq","mq","mq",NA
"22504",7149,20160819150000,"101010","20","3","230","5.100000","293.550000","286.950000","66","20000","60","6","6","90","7","1250","38","mq","mq","99970","mq","mq","40","mq","mq","mq","mq","mq","mq","mq","7.200000","7.600000","-10","0","0.000000","0.000000","-30","-0.100000","-0.100000","-0.100000","-0.100000","-0.100000","mq","mq","mq","mq","2","8","1300","7","6","1800","mq","mq","mq","mq","mq","mq",NA
"22563",7149,20160819180000,"101030","10","0","210","3.400000","292.550000","285.750000","65","25000","3","2","2","90","7","450","35","mq","mq","99980","mq","mq","50","290.550000","mq","296.450000","mq","mq","mq","mq","6.200000","6.400000","-10","1","0.000000","0.000000","-60","0.000000","0.200000","0.200000","0.200000","0.200000","mq","mq","mq","mq","1","7","450","7","6","1410","mq","mq","mq","mq","mq","mq",NA
"22622",7149,20160819210000,"101150","110","1","210","4.200000","290.450000","288.750000","90","25000","1","2","2","90","7","450","35","mq","mq","100090","mq","mq","120","mq","mq","mq","mq","mq","mq","mq","6.500000","6.500000","-10","1","0.000000","0.000000","-30","0.000000","0.200000","0.400000","0.400000","0.400000","mq","mq","mq","mq","4","6","360","7","6","1000","mq","mq","mq","mq","mq","mq",NA
"22679",7149,2.016082e+13,"101190","40","0","210","3.600000","289.650000","288.550000","93","18000","1","0","0","50","4","450","35","20","10","100130","mq","mq","150","mq","mq","mq","mq","mq","mq","mq","5.200000","5.700000","-10","1","0.000000","0.000000","-60","0.000000","0.000000","0.200000","0.400000","0.400000","mq","mq","mq","mq","4","6","300","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"22738",7149,20160820030000,"101260","60","3","210","3.700000","288.350000","287.350000","94","18000","0","0","0","0","0","mq","30","20","10","100190","mq","mq","260","mq","mq","mq","mq","mq","mq","mq","5.600000","6.300000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.400000","0.400000","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"22797",7149,20160820060000,"101340","80","3","210","4.400000","287.650000","286.850000","95","15810","1","1","1","60","3","250","35","20","11","100270","mq","mq","320","287.450000","mq","292.750000","mq","mq","mq","mq","7.100000","7.100000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.200000","0.400000","mq","mq","mq","mq","3","6","230","4","0","8000","mq","mq","mq","mq","mq","mq",NA
"22855",7149,20160820090000,"101390","70","0","230","5.900000","292.650000","288.050000","75","19770","3","2","2","75","4","450","32","23","11","100340","mq","mq","380","mq","mq","mq","mq","mq","mq","mq","8.900000","9.300000","-10","0","0.000000","0.000000","-30","0.000000","0.200000","0.200000","0.200000","0.600000","mq","mq","mq","mq","4","8","490","3","3","2600","2","0","8000","mq","mq","mq",NA
"22911",7149,20160820120000,"101390","10","0","250","7.200000","296.750000","284.150000","45","27130","1","0","0","40","3","1250","32","20","10","100350","mq","mq","400","mq","mq","mq","mq","mq","mq","mq","11.100000","12.700000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.200000","0.200000","0.600000","mq","mq","mq","mq","3","8","1400","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"22971",7149,20160820150000,"101460","60","3","250","8.300000","293.250000","284.750000","58","35000","25","8","6","75","6","1750","38","20","10","100410","mq","mq","440","mq","mq","mq","mq","mq","mq","mq","13.800000","15.200000","-10","0","0.000000","0.000000","-30","-0.100000","-0.100000","-0.100000","0.200000","0.600000","mq","mq","mq","mq","2","8","1600","3","8","1700","6","6","2400","mq","mq","mq",NA
"23030",7149,20160820180000,"101490","30","3","230","4.100000","293.850000","285.250000","58","35000","2","0","0","25","2","1750","32","20","10","100440","mq","mq","460","287.650000","mq","297.950000","mq","mq","mq","mq","6.100000","10.300000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","-0.100000","0.200000","0.400000","mq","mq","mq","mq","2","8","1700","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"23089",7149,20160820210000,"101710","210","3","260","5.400000","291.550000","282.850000","57","35000","3","0","0","50","4","1750","35","20","10","100650","mq","mq","560","mq","mq","mq","mq","mq","mq","mq","8.500000","9.900000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","-0.100000","0.200000","mq","mq","mq","mq","2","6","1800","3","6","2200","mq","mq","mq","mq","mq","mq",NA
"23148",7149,2.0160821e+13,"101820","100","0","250","6.000000","289.450000","283.950000","70","25000","2","2","2","90","7","1750","35","mq","mq","100750","mq","mq","620","mq","mq","mq","mq","mq","mq","mq","9.300000","9.700000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","-0.100000","0.200000","mq","mq","mq","mq","7","6","1500","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"23204",7149,20160821030000,"101890","60","1","230","4.700000","286.550000","283.350000","81","25000","3","0","0","10","1","2250","30","23","10","100810","mq","mq","620","mq","mq","mq","mq","mq","mq","mq","7.600000","7.600000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","1","3","2200","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"23261",7149,20160821060000,"102020","130","3","250","4.100000","287.150000","284.350000","83","30000","3","2","2","90","7","2250","30","27","mq","100940","mq","mq","670","286.250000","mq","293.850000","mq","mq","mq","mq","6.200000","6.900000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.200000","mq","mq","mq","mq","7","3","2040","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"23317",7149,20160821090000,"102110","110","1","250","6.500000","291.250000","285.450000","69","19500","3","8","6","90","7","800","38","mq","mq","101050","mq","mq","710","mq","mq","mq","mq","mq","mq","mq","10.600000","10.600000","-10","1","0.000000","0.000000","-30","-0.100000","-0.100000","-0.100000","-0.100000","-0.100000","mq","mq","mq","mq","3","8","780","6","6","1620","mq","mq","mq","mq","mq","mq",NA
"23375",7149,20160821120000,"102270","150","3","270","6.100000","290.650000","286.150000","75","22230","25","8","6","90","7","800","38","mq","mq","101200","mq","mq","850","mq","mq","mq","mq","mq","mq","mq","9.200000","9.900000","-10","1","0.000000","0.000000","-60","-0.100000","-0.100000","-0.100000","-0.100000","-0.100000","mq","mq","mq","mq","3","8","780","4","8","960","5","6","1200","mq","mq","mq",NA
"23433",7149,20160821150000,"102340","80","1","270","4.600000","293.150000","284.850000","59","36820","1","2","2","90","7","1250","35","23","mq","101280","mq","mq","870","mq","mq","mq","mq","mq","mq","mq","7.300000","9.000000","-10","1","0.000000","0.000000","-30","0.000000","0.600000","0.600000","0.600000","0.600000","mq","mq","mq","mq","1","6","1080","7","3","2100","7","3","2160","mq","mq","mq",NA
"23491",7149,20160821180000,"102410","70","3","290","3.700000","293.750000","281.750000","46","30000","1","0","0","40","3","1250","38","20","10","101350","mq","mq","910","287.150000","mq","295.550000","mq","mq","mq","mq","6.500000","7.600000","-10","1","0.000000","0.000000","-60","0.000000","0.000000","0.600000","0.600000","0.600000","mq","mq","mq","mq","1","8","1480","2","6","1800","mq","mq","mq","mq","mq","mq",NA
"23549",7149,20160821210000,"102580","160","1","260","1.700000","290.850000","283.950000","64","30000","3","1","1","75","4","1750","34","23","mq","101510","mq","mq","860","mq","mq","mq","mq","mq","mq","mq","2.000000","2.000000","-10","1","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.600000","0.600000","mq","mq","mq","mq","3","6","1620","3","6","1890","4","3","2550","mq","mq","mq",NA
"23607",7149,2.0160822e+13,"102650","60","3","260","2.500000","289.850000","284.750000","72","30000","3","2","2","90","7","1250","35","mq","mq","101570","mq","mq","820","mq","mq","mq","mq","mq","mq","mq","3.100000","3.100000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.600000","0.600000","mq","mq","mq","mq","7","6","1430","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"23664",7149,20160822030000,"102640","-10","5","220","1.500000","289.450000","285.250000","76","60000","1","2","2","90","7","1750","35","mq","mq","101560","mq","mq","750","mq","mq","mq","mq","mq","mq","mq","2.500000","2.500000","-10","0","0.000000","0.000000","-30","0.000000","0.000000","0.000000","0.000000","0.600000","mq","mq","mq","mq","7","6","1820","mq","mq","mq","mq","mq","mq","mq","mq","mq",NA
"23722",7149,20160822060000,"102740","100","3","250","0.600000","288.650000","285.450000","81","30000","1","1","1","50","2","2250","35","23","10","101660","mq","mq","720","287.650000","mq","293.750000","mq","mq","mq","mq","1.000000","2.800000","-10","0","0.000000","0.000000","-60","0.000000","0.000000","0.000000","0.000000","0.600000","mq","mq","mq","mq","2","6","2400","3","3","4100","mq","mq","mq","mq","mq","mq",NA
